threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.52,89,136,4,51,0.7639484978540773,0.6995515823364258,0.7647058963775635,0.8215767741203308,0.6357142857142857,0.5571428537368774,0.7142857313156128,44,0.3142857142857143,0.23571428656578064,0.3928571343421936,0.19634031081018266,0.14256874956190585,0.25620538145303723
0.53,89,136,4,51,0.7639484978540773,0.6995515823364258,0.7647058963775635,0.8215767741203308,0.6357142857142857,0.5571428537368774,0.7142857313156128,44,0.3142857142857143,0.23571428656578064,0.3928571343421936,0.19634031081018266,0.14256874956190585,0.25620538145303723
0.54,87,136,4,53,0.7532467532467533,0.6877828240394592,0.7542372941970825,0.8135592937469482,0.6214285714285714,0.5428571701049805,0.699999988079071,46,0.32857142857142857,0.25,0.40714284777641296,0.20704205541750664,0.15153087675571442,0.26800716072320935
0.55,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.56,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.57,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.58,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.59,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.6,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.61,84,136,4,56,0.7368421052631579,0.6697247624397278,0.7377777695655823,0.800000011920929,0.6,0.5214285850524902,0.6785714030265808,49,0.35,0.27142858505249023,0.4285714328289032,0.22344670340110206,0.16530972719192505,0.2868097722530365
0.62,82,136,4,58,0.7256637168141593,0.6545454263687134,0.726457417011261,0.7896995544433594,0.5857142857142857,0.5071428418159485,0.6714285612106323,51,0.36428571428571427,0.2857142984867096,0.44285714626312256,0.2346250918501006,0.17426007986068726,0.2994271218776703
